NOME,ANO,FASE,IAA,IAN,IDA,IDADE,IEG,INDE,INGRESSANTE,IPP,IPS,IPV,PEDRA
ALUNO-54,2022,5,7.9,5.0,4.8,16.0,6.9,6.058,1,0.0,7.5,6.125,ÁGATA
ALUNO-55,2022,5,7.1,5.0,7.5,16.0,7.6,6.576,0,0.0,5.6,6.5,ÁGATA
ALUNO-56,2022,5,10.0,10.0,7.0,15.0,10.0,8.404,0,0.0,7.5,8.25,TOPÁZIO
ALUNO-57,2022,5,7.1,5.0,8.4,16.0,8.1,7.305,0,0.0,5.6,7.875,AMETISTA
ALUNO-58,2022,5,9.6,10.0,7.2,15.0,9.2,8.136,0,0.0,6.3,8.125,TOPÁZIO
ALUNO-59,2022,5,9.2,5.0,7.2,17.0,9.3,7.642,1,0.0,7.5,7.917,AMETISTA
ALUNO-60,2022,5,6.7,2.5,4.9,18.0,6.0,5.537,0,0.0,7.5,6.167,QUARTZO
ALUNO-61,2022,5,9.2,10.0,5.8,15.0,7.4,7.533,0,0.0,7.5,7.875,AMETISTA
ALUNO-62,2022,5,8.8,5.0,9.3,17.0,9.4,7.891,1,0.0,7.5,7.25,AMETISTA
ALUNO-63,2022,5,8.3,5.0,8.7,16.0,9.1,8.282,0,0.0,8.8,9.417,TOPÁZIO
ALUNO-64,2022,5,7.1,5.0,7.5,16.0,8.1,7.368,0,0.0,8.1,8.25,AMETISTA
ALUNO-65,2022,5,8.3,5.0,9.3,17.0,7.7,7.712,1,0.0,7.5,7.875,AMETISTA
ALUNO-66,2022,5,7.5,5.0,4.5,17.0,5.6,5.665,1,0.0,7.5,5.917,QUARTZO
ALUNO-67,2022,5,5.8,5.0,3.6,16.0,3.0,5.195,0,0.0,7.5,6.889,QUARTZO
ALUNO-68,2022,5,8.3,5.0,4.0,16.0,6.0,6.438,0,0.0,7.5,7.944,ÁGATA
ALUNO-69,2022,5,8.3,5.0,2.5,16.0,6.1,5.718,0,0.0,7.5,6.167,QUARTZO
ALUNO-70,2022,5,8.8,5.0,2.9,16.0,6.6,5.712,0,0.0,5.0,6.111,QUARTZO
ALUNO-71,2022,5,7.9,5.0,1.2,17.0,2.0,4.332,0,0.0,7.5,5.833,QUARTZO
ALUNO-72,2022,5,8.3,5.0,7.8,17.0,7.5,7.64,1,0.0,7.5,8.667,AMETISTA
ALUNO-73,2022,5,7.1,5.0,3.3,17.0,3.0,5.271,1,0.0,7.5,7.278,QUARTZO
ALUNO-74,2022,5,9.6,5.0,2.0,16.0,3.3,4.989,1,0.0,7.5,5.833,QUARTZO
ALUNO-75,2022,5,5.4,5.0,0.0,16.0,3.8,3.915,1,0.0,6.3,4.625,QUARTZO
ALUNO-76,2022,5,10.0,10.0,8.7,15.0,9.1,9.105,0,0.0,8.1,9.292,TOPÁZIO
ALUNO-77,2022,5,7.1,5.0,0.7,16.0,2.7,3.846,0,0.0,5.0,4.625,QUARTZO
ALUNO-78,2022,5,8.3,5.0,7.2,17.0,6.6,7.04,0,0.0,5.6,8.0,AMETISTA
ALUNO-79,2022,5,5.4,5.0,8.9,16.0,6.3,6.847,0,0.0,5.6,7.292,ÁGATA
ALUNO-80,2022,5,9.2,5.0,7.1,16.0,8.3,7.29,0,0.0,5.0,7.625,AMETISTA
ALUNO-81,2022,5,9.2,10.0,6.0,14.0,9.2,7.675,0,0.0,5.0,7.458,AMETISTA
ALUNO-82,2022,5,8.8,5.0,5.5,17.0,6.8,6.596,1,0.0,7.5,6.417,ÁGATA
ALUNO-83,2022,5,7.9,5.0,6.8,17.0,6.8,6.671,1,0.0,7.5,5.958,ÁGATA
ALUNO-84,2022,5,7.1,5.0,5.8,17.0,8.8,6.682,0,0.0,5.0,6.75,ÁGATA
ALUNO-85,2022,5,6.7,10.0,4.3,15.0,7.3,6.243,1,0.0,5.0,5.833,ÁGATA
ALUNO-86,2022,5,7.5,5.0,6.7,16.0,9.6,7.566,0,0.0,5.6,8.458,AMETISTA
ALUNO-87,2022,5,8.3,10.0,8.8,15.0,9.6,8.712,0,0.0,7.5,8.5,TOPÁZIO
ALUNO-88,2022,5,7.1,5.0,6.5,17.0,9.2,7.498,0,0.0,5.6,9.208,AMETISTA
ALUNO-89,2022,5,9.6,5.0,5.9,16.0,7.8,7.323,0,0.0,7.5,8.0,AMETISTA
ALUNO-90,2022,5,10.0,10.0,8.5,13.0,9.7,9.442,0,0.0,9.4,9.75,TOPÁZIO
ALUNO-91,2022,5,9.2,5.0,6.6,16.0,5.7,6.645,0,0.0,5.6,7.125,ÁGATA
ALUNO-92,2022,5,9.2,5.0,7.4,16.0,7.1,6.957,0,0.0,5.0,6.667,ÁGATA
ALUNO-93,2022,5,8.3,10.0,8.5,15.0,9.7,8.941,0,0.0,8.1,9.083,TOPÁZIO
ALUNO-94,2022,5,8.3,10.0,7.7,15.0,9.6,8.921,0,0.0,8.1,9.583,TOPÁZIO
ALUNO-95,2022,5,8.3,5.0,4.8,17.0,6.6,6.308,1,0.0,7.5,6.292,ÁGATA
ALUNO-96,2022,5,9.2,5.0,6.7,16.0,7.8,7.54,0,0.0,6.9,8.5,AMETISTA
ALUNO-97,2022,5,7.5,10.0,6.9,15.0,8.8,7.468,0,0.0,5.0,6.292,AMETISTA
ALUNO-98,2022,5,8.8,10.0,8.5,15.0,10.0,9.354,0,0.0,9.4,9.667,TOPÁZIO
ALUNO-99,2022,5,8.8,5.0,5.0,16.0,6.3,6.158,0,0.0,7.5,5.833,ÁGATA
ALUNO-100,2022,4,8.8,10.0,7.6,13.0,7.8,7.618,0,0.0,5.0,7.25,AMETISTA
ALUNO-101,2022,4,7.9,5.0,7.6,15.0,8.3,7.305,0,0.0,7.5,6.833,AMETISTA
ALUNO-102,2022,4,6.7,10.0,5.7,14.0,7.7,6.922,0,0.0,6.9,6.0,ÁGATA
ALUNO-103,2022,4,7.9,10.0,7.3,13.0,8.7,8.107,0,0.0,7.5,7.708,TOPÁZIO
ALUNO-104,2022,4,7.9,2.5,3.7,18.0,8.7,6.315,1,0.0,7.5,6.708,ÁGATA
ALUNO-105,2022,4,7.9,2.5,6.7,17.0,8.2,6.846,0,0.0,5.6,7.417,ÁGATA
ALUNO-106,2022,4,9.2,5.0,7.4,15.0,8.0,7.973,0,0.0,9.4,8.375,AMETISTA
ALUNO-107,2022,4,7.5,5.0,4.6,15.0,6.4,6.258,0,0.0,7.5,6.5,ÁGATA
ALUNO-108,2022,4,4.6,2.5,5.0,17.0,7.7,5.547,0,0.0,5.0,6.125,QUARTZO
ALUNO-109,2022,4,8.8,5.0,8.4,16.0,10.0,8.512,0,0.0,8.8,8.667,TOPÁZIO
ALUNO-110,2022,4,9.2,10.0,6.7,14.0,9.7,8.15,0,0.0,5.6,8.0,TOPÁZIO
ALUNO-111,2022,4,7.5,10.0,8.0,13.0,9.4,8.646,0,0.0,8.1,8.667,TOPÁZIO
ALUNO-112,2022,4,7.9,5.0,8.5,15.0,7.8,7.836,0,0.0,6.3,8.833,AMETISTA
ALUNO-113,2022,4,0.0,5.0,3.7,15.0,0.0,3.032,0,0.0,5.0,3.792,QUARTZO
ALUNO-114,2022,4,7.9,5.0,5.3,16.0,6.3,5.894,1,0.0,7.5,5.0,QUARTZO
ALUNO-115,2022,4,8.3,5.0,3.8,16.0,6.8,5.886,0,0.0,6.3,5.583,QUARTZO
ALUNO-116,2022,4,5.8,5.0,5.9,16.0,8.1,6.854,0,0.0,6.3,7.792,ÁGATA
ALUNO-117,2022,4,7.9,5.0,6.1,15.0,6.3,6.685,1,0.0,6.9,7.417,ÁGATA
ALUNO-118,2022,4,0.0,10.0,3.9,14.0,5.3,5.597,0,0.0,6.3,6.958,QUARTZO
ALUNO-119,2022,4,8.3,10.0,5.4,14.0,8.2,7.501,0,0.0,5.6,7.875,AMETISTA
ALUNO-120,2022,4,8.3,5.0,6.2,15.0,5.9,6.825,0,0.0,7.5,7.667,ÁGATA
ALUNO-121,2022,4,7.1,5.0,7.2,16.0,8.4,7.245,0,0.0,6.3,7.625,AMETISTA
ALUNO-122,2022,4,7.9,10.0,1.8,14.0,3.4,5.061,0,0.0,7.5,4.958,QUARTZO
ALUNO-123,2022,4,7.9,5.0,6.5,16.0,8.6,7.084,0,0.0,5.6,7.292,AMETISTA
ALUNO-124,2022,4,7.9,10.0,6.7,14.0,7.8,7.388,0,0.0,5.0,7.167,AMETISTA
ALUNO-125,2022,4,8.8,5.0,7.1,15.0,8.5,7.619,1,0.0,7.5,7.75,AMETISTA
ALUNO-126,2022,4,7.1,5.0,4.4,15.0,5.8,6.289,0,0.0,7.5,7.417,ÁGATA
ALUNO-127,2022,4,7.5,10.0,7.9,14.0,8.7,8.283,1,0.0,7.5,8.125,TOPÁZIO
ALUNO-128,2022,4,0.0,5.0,5.6,15.0,6.2,5.563,0,0.0,7.5,6.167,QUARTZO
ALUNO-129,2022,4,6.7,5.0,6.7,15.0,6.4,6.926,0,0.0,7.5,7.792,ÁGATA
ALUNO-130,2022,4,8.3,5.0,4.1,16.0,4.7,5.624,0,0.0,5.0,6.5,QUARTZO
ALUNO-131,2022,4,8.8,5.0,5.6,15.0,9.0,7.174,0,0.0,5.6,7.75,AMETISTA
ALUNO-132,2022,4,10.0,10.0,7.7,14.0,8.8,8.355,0,0.0,5.6,8.458,TOPÁZIO
ALUNO-133,2022,4,7.9,5.0,5.6,15.0,7.1,6.875,0,0.0,7.5,7.625,ÁGATA
ALUNO-134,2022,4,8.8,5.0,4.7,15.0,6.8,6.607,0,0.0,7.5,7.375,ÁGATA
ALUNO-135,2022,4,8.3,5.0,8.6,15.0,7.8,7.692,0,0.0,5.6,8.583,AMETISTA
ALUNO-136,2022,4,10.0,5.0,4.6,15.0,6.3,6.478,0,0.0,7.5,6.667,ÁGATA
ALUNO-137,2022,4,7.5,2.5,7.3,17.0,8.9,7.056,0,0.0,5.0,7.792,AMETISTA
ALUNO-138,2022,4,9.6,5.0,5.6,15.0,8.0,6.738,0,0.0,5.6,6.375,ÁGATA
ALUNO-139,2022,4,7.1,2.5,1.4,17.0,3.5,3.738,0,0.0,5.0,3.917,QUARTZO
ALUNO-140,2022,4,7.9,10.0,5.7,14.0,7.6,7.407,0,0.0,6.9,7.667,AMETISTA
ALUNO-141,2022,4,9.2,10.0,5.7,14.0,8.2,7.118,0,0.0,5.6,5.917,AMETISTA
ALUNO-142,2022,4,6.7,10.0,6.3,14.0,8.6,7.457,0,0.0,5.6,7.583,AMETISTA
ALUNO-143,2022,4,8.3,10.0,7.9,13.0,9.9,8.638,0,0.0,5.6,9.5,TOPÁZIO
ALUNO-144,2022,4,7.5,10.0,7.9,14.0,9.3,8.181,0,0.0,5.0,8.292,TOPÁZIO
ALUNO-145,2022,4,0.0,5.0,5.2,16.0,6.3,5.846,0,0.0,8.1,7.25,QUARTZO
ALUNO-146,2022,4,8.3,5.0,7.9,15.0,9.2,7.947,1,0.0,7.5,8.208,AMETISTA
ALUNO-147,2022,4,8.3,10.0,6.1,14.0,7.7,7.541,1,0.0,7.5,7.25,AMETISTA
ALUNO-148,2022,4,9.2,10.0,5.3,14.0,7.9,7.894,1,0.0,10.0,7.708,AMETISTA
ALUNO-149,2022,4,9.2,5.0,5.0,15.0,6.5,6.323,1,0.0,7.5,6.125,ÁGATA
ALUNO-150,2022,4,9.6,5.0,6.9,16.0,6.3,6.962,0,0.0,6.9,7.333,ÁGATA
ALUNO-151,2022,4,8.8,5.0,8.3,16.0,7.5,7.563,0,0.0,6.9,7.958,AMETISTA
ALUNO-152,2022,4,8.3,5.0,6.5,16.0,7.0,6.712,1,0.0,7.5,6.292,ÁGATA
ALUNO-153,2022,4,7.9,10.0,6.6,14.0,8.2,7.535,0,0.0,5.0,7.708,AMETISTA
ALUNO-154,2022,4,8.3,5.0,4.0,15.0,6.1,6.073,0,0.0,6.3,6.833,ÁGATA
ALUNO-155,2022,4,10.0,5.0,5.2,16.0,8.3,7.051,1,0.0,7.5,6.833,AMETISTA
ALUNO-156,2022,4,10.0,5.0,4.4,15.0,8.3,7.357,0,0.0,9.4,7.792,AMETISTA
ALUNO-157,2022,4,7.5,10.0,7.7,12.0,10.0,8.317,0,0.0,6.3,8.292,TOPÁZIO
ALUNO-158,2022,4,7.9,2.5,6.6,17.0,9.8,7.302,0,0.0,5.6,8.125,AMETISTA
ALUNO-159,2022,4,8.3,5.0,4.7,15.0,8.1,6.49,0,0.0,5.6,6.458,ÁGATA
ALUNO-160,2022,4,7.5,5.0,5.3,15.0,7.2,6.746,0,0.0,5.6,8.25,ÁGATA
ALUNO-161,2022,4,7.9,10.0,6.9,11.0,9.1,7.957,0,0.0,5.6,8.083,AMETISTA
ALUNO-162,2022,4,6.7,10.0,5.5,14.0,8.5,7.215,0,0.0,7.5,6.542,AMETISTA
ALUNO-163,2022,4,8.8,5.0,6.7,15.0,7.9,6.797,0,0.0,5.6,6.5,ÁGATA
ALUNO-164,2022,4,8.3,5.0,6.5,16.0,7.3,6.776,0,0.0,5.6,7.208,ÁGATA
ALUNO-165,2022,4,7.1,10.0,7.6,14.0,9.8,8.063,0,0.0,5.6,7.5,TOPÁZIO
ALUNO-166,2022,4,9.2,10.0,8.1,14.0,9.0,8.253,0,0.0,6.3,7.542,TOPÁZIO
ALUNO-167,2022,4,9.2,5.0,7.9,16.0,9.7,7.798,0,0.0,5.6,7.833,AMETISTA
ALUNO-168,2022,4,7.9,5.0,5.9,15.0,8.3,6.917,0,0.0,6.3,7.083,ÁGATA
ALUNO-169,2022,4,7.5,5.0,3.2,15.0,5.1,5.159,0,0.0,6.3,4.792,QUARTZO
ALUNO-170,2022,4,8.3,10.0,4.9,14.0,9.2,7.007,0,0.0,5.6,5.792,ÁGATA
ALUNO-171,2022,4,7.5,5.0,5.5,16.0,6.8,6.581,1,0.0,7.5,6.875,ÁGATA
ALUNO-172,2022,4,9.2,10.0,7.3,14.0,8.9,8.673,0,0.0,9.4,8.917,TOPÁZIO
ALUNO-173,2022,4,8.3,2.5,7.9,17.0,9.2,7.816,0,0.0,6.9,9.25,AMETISTA
ALUNO-174,2022,4,7.9,5.0,4.4,15.0,6.2,6.075,0,0.0,7.5,6.042,ÁGATA
ALUNO-175,2022,4,8.3,5.0,5.9,15.0,9.2,6.75,0,0.0,5.6,5.833,ÁGATA
ALUNO-176,2022,3,9.6,10.0,6.9,13.0,9.1,8.427,0,0.0,5.6,9.083,TOPÁZIO
ALUNO-177,2022,3,7.9,10.0,6.8,13.0,8.8,7.424,1,0.0,4.4,6.958,AMETISTA
ALUNO-178,2022,3,0.0,10.0,6.3,13.0,8.8,7.025,0,0.0,4.4,8.458,ÁGATA
ALUNO-179,2022,3,7.5,10.0,6.1,12.0,9.2,7.993,1,0.0,7.5,8.042,AMETISTA
ALUNO-180,2022,3,9.2,10.0,8.1,12.0,8.3,8.442,0,0.0,6.3,8.625,TOPÁZIO
ALUNO-181,2022,3,9.2,10.0,6.8,13.0,9.5,8.623,0,0.0,8.8,8.458,TOPÁZIO
ALUNO-182,2022,3,7.5,2.5,4.1,16.0,8.0,6.328,0,0.0,7.5,6.958,ÁGATA
ALUNO-183,2022,3,8.3,10.0,3.8,13.0,8.8,7.3,1,0.0,7.5,7.25,AMETISTA
ALUNO-184,2022,3,8.8,2.5,7.2,16.0,7.7,7.28,0,0.0,7.5,8.0,AMETISTA
ALUNO-185,2022,3,7.9,5.0,4.5,15.0,7.7,6.615,0,0.0,7.5,6.875,ÁGATA
ALUNO-186,2022,3,8.3,10.0,6.6,13.0,8.5,7.832,0,0.0,7.5,7.5,AMETISTA
ALUNO-187,2022,3,8.8,10.0,5.8,12.0,8.9,7.928,0,0.0,7.5,7.917,AMETISTA
ALUNO-188,2022,3,0.0,5.0,2.7,14.0,6.1,5.307,0,0.0,7.5,7.583,QUARTZO
ALUNO-189,2022,3,10.0,5.0,7.2,14.0,9.7,7.629,0,0.0,5.0,7.333,AMETISTA
ALUNO-190,2022,3,6.7,10.0,6.3,13.0,6.9,7.335,1,0.0,8.8,7.25,AMETISTA
ALUNO-191,2022,3,10.0,10.0,7.2,13.0,9.4,8.74,0,0.0,8.8,8.5,TOPÁZIO
ALUNO-192,2022,3,8.8,5.0,2.7,15.0,3.6,4.932,0,0.0,7.5,4.708,QUARTZO
ALUNO-193,2022,3,9.2,10.0,6.7,12.0,8.9,8.155,0,0.0,5.6,8.5,TOPÁZIO
ALUNO-194,2022,3,0.0,5.0,3.2,14.0,6.2,4.265,1,0.0,5.0,3.75,QUARTZO
ALUNO-195,2022,3,8.8,10.0,6.3,13.0,9.2,8.017,0,0.0,5.0,8.25,AMETISTA
ALUNO-196,2022,3,9.2,10.0,5.1,12.0,9.1,8.124,0,0.0,7.5,8.625,TOPÁZIO
ALUNO-197,2022,3,8.8,10.0,7.3,13.0,9.7,8.218,0,0.0,4.4,8.292,TOPÁZIO
ALUNO-198,2022,3,0.0,10.0,4.6,13.0,6.2,5.554,0,0.0,5.0,5.958,QUARTZO
ALUNO-199,2022,3,8.3,10.0,7.5,13.0,7.1,7.564,1,0.0,7.5,6.458,AMETISTA
ALUNO-200,2022,3,7.9,5.0,5.5,15.0,5.6,5.705,0,0.0,4.4,4.917,QUARTZO
ALUNO-201,2022,3,7.9,5.0,6.5,15.0,7.3,7.078,0,0.0,7.5,7.542,AMETISTA
ALUNO-202,2022,3,0.0,5.0,5.4,14.0,5.2,5.201,0,0.0,4.4,6.917,QUARTZO
ALUNO-203,2022,3,8.8,5.0,2.8,14.0,4.3,5.669,0,0.0,7.5,6.875,QUARTZO
ALUNO-204,2022,3,7.9,10.0,7.4,13.0,6.7,6.943,0,0.0,4.4,5.708,ÁGATA
ALUNO-205,2022,3,9.6,5.0,4.1,14.0,3.8,5.372,0,0.0,7.5,4.833,QUARTZO
ALUNO-206,2022,3,8.3,10.0,5.0,12.0,8.8,7.101,1,0.0,7.5,5.167,AMETISTA
ALUNO-207,2022,3,0.0,2.5,5.8,16.0,4.8,4.936,0,0.0,7.5,5.708,QUARTZO
ALUNO-208,2022,3,7.5,5.0,6.1,14.0,7.1,6.667,0,0.0,7.5,6.417,ÁGATA
ALUNO-209,2022,3,0.0,5.0,6.0,14.0,4.8,4.499,0,0.0,5.6,3.75,QUARTZO
ALUNO-210,2022,3,0.0,5.0,3.4,14.0,5.1,4.44,1,0.0,7.5,4.417,QUARTZO
ALUNO-211,2022,3,9.2,10.0,7.6,13.0,8.8,8.465,0,0.0,7.5,8.458,TOPÁZIO
ALUNO-212,2022,3,9.6,5.0,6.2,14.0,8.4,7.268,1,0.0,7.5,6.958,AMETISTA
ALUNO-213,2022,3,9.6,10.0,3.5,13.0,8.7,7.209,1,0.0,7.5,6.833,AMETISTA
ALUNO-214,2022,3,0.0,5.0,4.3,15.0,6.1,4.87,1,0.0,7.5,5.125,QUARTZO
ALUNO-215,2022,3,6.7,10.0,7.8,13.0,5.8,7.172,0,0.0,7.5,6.542,AMETISTA
ALUNO-216,2022,3,7.9,10.0,7.0,13.0,8.5,7.502,0,0.0,7.5,5.583,AMETISTA
ALUNO-217,2022,3,7.9,5.0,7.1,15.0,8.5,7.397,0,0.0,7.5,7.292,AMETISTA
ALUNO-218,2022,3,6.3,5.0,4.0,14.0,7.3,6.1,1,0.0,7.5,6.125,ÁGATA
ALUNO-219,2022,3,8.8,2.5,3.5,16.0,6.9,5.942,0,0.0,7.5,6.375,QUARTZO
ALUNO-220,2022,3,0.0,10.0,6.5,13.0,8.1,7.028,1,0.0,7.5,7.833,ÁGATA
ALUNO-221,2022,3,9.6,5.0,5.2,14.0,8.5,6.892,1,0.0,7.5,6.0,ÁGATA
ALUNO-222,2022,3,7.1,5.0,6.2,15.0,4.6,5.604,0,0.0,7.5,4.917,QUARTZO
ALUNO-223,2022,3,0.0,10.0,3.1,13.0,4.6,4.966,1,0.0,7.5,5.583,QUARTZO
ALUNO-224,2022,3,9.6,10.0,2.6,13.0,4.3,5.671,0,0.0,7.5,4.875,QUARTZO
ALUNO-225,2022,3,8.3,5.0,5.0,14.0,5.3,5.918,1,0.0,7.5,5.708,QUARTZO
ALUNO-226,2022,3,7.5,5.0,6.8,14.0,6.1,6.549,1,0.0,7.5,6.208,ÁGATA
ALUNO-227,2022,3,9.2,10.0,3.3,12.0,6.4,6.471,1,0.0,7.5,5.833,ÁGATA
ALUNO-228,2022,3,7.5,5.0,4.8,15.0,6.7,6.196,0,0.0,7.5,6.417,ÁGATA
ALUNO-229,2022,3,10.0,10.0,6.9,12.0,9.4,8.62,1,0.0,7.5,8.5,TOPÁZIO
ALUNO-230,2022,3,7.9,5.0,5.7,14.0,5.1,6.328,1,0.0,7.5,6.75,ÁGATA
ALUNO-231,2022,3,8.8,5.0,3.8,14.0,7.4,6.116,1,0.0,7.5,5.333,ÁGATA
ALUNO-232,2022,3,0.0,10.0,0.0,12.0,4.9,4.245,1,0.0,7.5,4.542,QUARTZO
ALUNO-233,2022,3,7.9,5.0,3.8,14.0,7.4,6.051,1,0.0,7.5,5.5,ÁGATA
ALUNO-234,2022,3,10.0,10.0,4.3,13.0,7.6,6.719,1,0.0,5.6,5.583,ÁGATA
ALUNO-235,2022,3,8.3,5.0,6.3,14.0,7.3,6.79,1,0.0,7.5,6.417,ÁGATA
ALUNO-236,2022,3,9.6,10.0,3.7,12.0,7.5,7.11,1,0.0,7.5,7.208,AMETISTA
ALUNO-237,2022,3,10.0,5.0,7.8,14.0,9.0,8.084,1,0.0,7.5,8.417,TOPÁZIO
