INSTITUICAO_ENSINO_ALUNO_2024,NOME,IDADE_ALUNO_2024,ANOS_PM_2024,FASE_TURMA_2024,PONTO_VIRADA_2024,INDE_2024,INDE_CONCEITO_2024,PEDRA_2024,DESTAQUE_IEG_2024,DESTAQUE_IDA_2024,DESTAQUE_IPV_2024,IAA_2024,IEG_2024,IPS_2024,IDA_2024,IPP_2024,IPV_2024,IAN_2024
,Aluno-1646,21,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1647,22,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1237,22,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1648,22,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1649,23,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1650,22,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1651,22,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1652,22,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1653,20,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1654,22,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1655,21,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1656,22,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1254,20,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1233,23,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1232,22,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1231,23,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1238,22,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1267,23,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1657,20,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1658,21,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1659,21,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1252,22,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1660,24,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1661,21,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
