INSTITUICAO_ENSINO_ALUNO_2024,NOME,IDADE_ALUNO_2024,ANOS_PM_2024,FASE_TURMA_2024,PONTO_VIRADA_2024,INDE_2024,INDE_CONCEITO_2024,PEDRA_2024,DESTAQUE_IEG_2024,DESTAQUE_IDA_2024,DESTAQUE_IPV_2024,IAA_2024,IEG_2024,IPS_2024,IDA_2024,IPP_2024,IPV_2024,IAN_2024
,Aluno-271,17,,5M,,"7,400633333",,Ametista,,,,"9,2","9,0","6,3","7,3","7,5","6,7",5
,Aluno-316,15,,5M,,"8,708925",,Topázio,,,,"9,2","10,0","7,5","8,0","7,7","8,4",10
,Aluno-286,16,,5M,,"5,123180882",,Quartzo,,,,"6,7","4,0","6,3","3,2","7,3","5,8",5
,Aluno-320,15,,5M,,"8,442258333",,Topázio,,,,"9,2","10,0","7,5","6,7","7,7","8,4",10
,Aluno-1207,16,,5M,,"6,509169737",,Agata,,,,"8,3","6,6","7,5","5,3","7,3","6,5",5
,Aluno-1617,16,,5M,,"4,926285714",,Quartzo,,,,"0,0","5,6","7,5","3,3","6,9","6,1",5
,Aluno-158,15,,5M,,"6,855159259",,Agata,,,,"8,3","7,8","6,3","4,0","6,9","6,7",10
,Aluno-306,16,,5M,,"6,166153947",,Agata,,,,"7,9","7,7","7,5","2,8","7,3","6,4",5
,Aluno-1618,17,,5M,,"7,048766013",,Ametista,,,,"8,3","7,9","7,5","6,3","7,5","6,8",5
,Aluno-308,15,,5M,,"7,489282456",,Ametista,,,,"7,1","8,7","5,6","6,5","7,5","7,1",10
,Aluno-1619,15,,5M,,"7,393951852",,Ametista,,,,"7,5","9,3","7,5","4,3","7,5","7,2",10
,Aluno-299,15,,5N,,"8,177186957",,Topázio,,,,"8,8","9,0","6,3","8,2","7,5","7,5",10
,Aluno-251,16,,5N,,"6,713500621",,Agata,,,,"8,8","8,6","5,6","4,5","6,9","7,3",5
,Aluno-157,14,,5N,,"8,950566667",,Topázio,,,,"8,3","10,0","6,3","9,7","8,1","8,7",10
,Aluno-1620,16,,5N,,"6,652766667",,Agata,,,,"8,8","6,7","7,5","5,2","7,5","7,1",5
,Aluno-321,14,,5N,,"8,125807933",,Topázio,,,,"7,9","9,5","6,3","7,2","8,1","7,8",10
,Aluno-1195,18,,5N,,"7,508514493",,Ametista,,,,"9,6","9,9","5,6","6,2","7,5","7,7",5
,Aluno-1200,16,,5N,,"5,641583896",,Quartzo,,,,"7,9","7,1","6,3","1,5","7,5","6,3",5
,Aluno-278,14,,5N,,"8,907314493",,Topázio,,,,"9,2","9,9","7,5","9,3","8,1","7,9",10
,Aluno-85,17,,5N,,"6,999509386",,Agata,,,,"8,3","8,7","3,8","7,7","6,3","7,0",5
,Aluno-279,15,,5N,,"9,113133333",,Topázio,,,,"9,2","10,0","7,5","9,3","8,3","8,7",10
,Aluno-1621,17,,5N,,"8,107033333",,Topázio,,,,"7,9","10,0","6,3","8,3","8,3","8,4",5
,Aluno-280,15,,5N,,"8,822714493",,Topázio,,,,"7,9","9,9","6,3","9,3","8,3","8,7",10
,Aluno-1201,16,,5N,,"8,376195238",,Topázio,,,,"8,8","9,5","7,5","9,0","8,3","8,6",5
,Aluno-1622,16,,5N,,"8,429066667",,Topázio,,,,"8,3","10,0","7,5","9,7","8,3","7,9",5
,Aluno-132,16,,6A,,"8,474632143",,Topázio,,,,"8,3","8,4","7,5","8,3","8,6","8,4",10
,Aluno-42,17,,6A,,"7,65662877",,Ametista,,,,"9,2","9,7","5,6","8,2","6,8","7,1",5
,Aluno-1623,17,,6A,,"7,760953704",,Ametista,,,,"9,2","8,5","6,3","6,0","7,8","7,7",10
,Aluno-106,16,,6A,,"7,721664286",,Ametista,,,,"9,2","8,8","5,6","5,7","7,8","7,9",10
,Aluno-123,18,,6A,,"6,887248016",,Agata,,,,"7,5","8,4","5,6","7,2","6,7","6,4",5
,Aluno-125,17,,6A,,"6,627079762",,Agata,,,,"8,3","5,6","7,5","6,2","7,3","7,2",5
,Aluno-1624,18,,6A,,"7,743213492",,Ametista,,,,"7,9","9,5","7,5","7,5","7,8","7,6",5
,Aluno-1625,17,,6A,,"6,888194089",,Agata,,,,"7,5","7,1","7,5","4,3","7,2","6,9",10
,Aluno-1626,16,,6A,,"8,541085606",,Topázio,,,,"8,8","9,7","7,5","7,3","8,3","8,4",10
,Aluno-1627,17,,6A,,"7,481547222",,Ametista,,,,"7,1","7,8","7,5","7,8","7,7","8,2",5
,Aluno-1628,16,,6A,,"7,500131369",,Ametista,,,,"8,3","8,5","7,5","5,8","6,9","6,8",10
,Aluno-112,17,,6A,,"8,052609921",,Topázio,,,,"7,1","8,0","7,5","8,0","8,0","8,0",10
,Aluno-1629,17,,6A,,"7,560550529",,Ametista,,,,"9,6","8,6","7,5","7,3","7,2","7,3",5
,Aluno-91,18,,6L,,"7,426704762",,Ametista,,,,"10,0","7,5","5,6","7,3","7,9","8,1",5
,Aluno-167,18,,6L,,"8,033470175",,Topázio,,,,"8,8","9,5","6,3","8,2","8,4","8,3",5
,Aluno-1203,17,,6L,,"8,949524561",,Topázio,,,,"9,2","9,6","7,5","9,0","8,4","8,6",10
,Aluno-94,17,,6L,,"8,637033333",,Topázio,,,,"10,0","9,7","6,3","8,0","8,4","8,2",10
,Aluno-81,16,,6L,,"8,256566667",,Topázio,,,,"9,2","9,3","6,3","7,5","7,9","7,8",10
,Aluno-1630,16,,6L,,"8,583133333",,Topázio,,,,"8,3","9,8","7,5","7,3","8,3","8,7",10
,Aluno-171,18,,6L,,"7,328933333",,Ametista,,,,"7,5","7,8","5,6","8,3","7,6","7,6",5
,Aluno-1220,18,,6L,,"7,143244444",,Ametista,,,,"7,1","8,6","6,9","7,7","7,5","6,3",5
,Aluno-1631,17,,6L,,"8,186433333",,Topázio,,,,"9,6","10,0","7,5","7,2","8,5","8,5",5
,Aluno-1632,16,,6L,,"8,389333333",,Topázio,,,,"9,2","10,0","7,5","6,7","7,8","8,1",10
,Aluno-1210,17,,6L,,"8,2302",,Topázio,,,,"9,6","10,0","7,5","5,5","7,9","8,2",10
,Aluno-175,17,,6L,,"8,024136842",,Topázio,,,,"10,0","9,5","6,3","8,5","7,5","7,8",5
,Aluno-80,18,,7A,,"8,131659176",,Topázio,,,,"8,8","7,9","8,1","7,0","8,8","7,9",10
,Aluno-40,18,,7A,,"7,098051462",,Ametista,,,,"7,1","7,2","8,1","5,3","8,1","6,3",10
,Aluno-1214,17,,7A,,"8,590297136",,Topázio,,,,"10,0","9,1","8,1","8,0","8,3","7,7",10
,Aluno-92,18,,7A,,"8,052279017",,Topázio,,,,"10,0","8,8","7,5","7,5","7,8","6,3",10
,Aluno-45,17,,7A,,"8,74347619",,Topázio,,,,"7,5","9,6","9,4","8,0","8,8","8,3",10
,Aluno-56,17,,7A,,"9,077020175",,Topázio,,,,"10,0","9,3","10,0","7,7","8,4","9,2",10
,Aluno-57,18,,7A,,"7,41938043",,Ametista,,,,"9,6","6,0","6,9","6,2","8,6","7,4",10
,Aluno-58,17,,7A,,"8,771328947",,Topázio,,,,"9,6","9,8","7,5","7,3","9,1","8,6",10
,Aluno-78,19,,7A,,"8,178030869",,Topázio,,,,"8,8","8,0","8,8","7,5","8,4","7,4",10
,Aluno-87,17,,7A,,"9,437924561",,Topázio,,,,"8,8","9,6","9,4","9,2","9,4","9,6",10
,Aluno-64,18,,7A,,"8,743607059",,Topázio,,,,"10,0","9,0","8,1","8,2","8,4","8,3",10
