NOME,FASE_2023,TURMA_2023,INSTITUICAO_ENSINO_ALUNO_2023,PEDRA_2023,INDE_2023,IAA_2023,IEG_2023,IPS_2023,IDA_2023,IPP_2023,PONTO_VIRADA_2023,IPV_2023,IAN_2023,NIVEL_IDEAL_2023,DEFASAGEM_2023
Aluno-745,FASE 1,1G,Privada - Programa de Apadrinhamento,Ametista,"7,668366667","9,5","9,3","3,77","7,0","8,13",,"8,89",5,Fase 2 (5° e 6° ano),-1
Aluno-717,FASE 1,1G,Pública,Agata,"6,633833333","0,0","8,5","7,52","5,9","8,13",,"8,45",5,Fase 2 (5° e 6° ano),-1
Aluno-718,FASE 1,1G,Pública,Topázio,"8,166866667","9,5","9,1","3,77","7,8","7,92",,"8,39",10,Fase 1 (3° e 4° ano),0
Aluno-721,FASE 1,1G,Pública,Topázio,"8,683366667","8,5","9,5","7,52","8,4","8,13",,"8,44",10,Fase 1 (3° e 4° ano),0
Aluno-746,FASE 1,1G,Pública,Agata,"6,517166667","0,0","8,0","3,77","7,2","6,88",,"7,11",10,Fase 1 (3° e 4° ano),0
Aluno-1045,FASE 1,1H,Pública,Topázio,"8,089033333","9,5","9,4","7,52","7,9","7,71",,"8,28",5,Fase 2 (5° e 6° ano),-1
Aluno-483,FASE 1,1H,Pública,Agata,"6,3972","9,0","6,0","2,52","5,6","7,92",,"8,17",5,Fase 3 (7° e 8° ano),-2
Aluno-1046,FASE 1,1H,Pública,Agata,"6,835833333","0,0","8,5","3,77","6,3","8,54",,"8,22",10,Fase 1 (3° e 4° ano),0
Aluno-1047,FASE 1,1H,Pública,Ametista,"7,848366667","10,0","8,5","3,77","6,9","8,13",,"7,89",10,Fase 1 (3° e 4° ano),0
Aluno-570,FASE 1,1H,Pública,Agata,"6,781033333","8,5","7,3","3,77","5,9","8,13",,"8,06",5,Fase 2 (5° e 6° ano),-1
Aluno-1048,FASE 1,1H,Privada,Ametista,"7,811366667","8,5","9,5","3,77","8,2","8,54",,"8,50",5,Fase 2 (5° e 6° ano),-1
Aluno-1049,FASE 1,1H,Pública,Ametista,"7,443366667","10,0","7,7","7,52","6,3","8,13",,"7,94",5,Fase 2 (5° e 6° ano),-1
Aluno-1050,FASE 1,1H,Pública,Ametista,"7,764366667","9,0","9,2","6,27","7,2","8,13",,"8,22",5,Fase 2 (5° e 6° ano),-1
Aluno-1051,FASE 1,1H,Pública,Topázio,"8,534866667","8,5","8,9","6,27","8,4","8,75",,"8,61",10,Fase 1 (3° e 4° ano),0
Aluno-707,FASE 1,1H,Pública,Agata,"6,518","0,0","9,8","3,77","6,5","7,92",,"7,95",5,Fase 2 (5° e 6° ano),-1
Aluno-1052,FASE 1,1H,Pública,Agata,"6,960333333","0,0","9,0","7,52","5,3","7,92",,"7,83",10,Fase 1 (3° e 4° ano),0
Aluno-580,FASE 1,1H,Pública,Topázio,"8,4712","8,5","9,8","7,52","9,0","8,75",,"8,67",1900-01-04 00:00:00,Fase 2 (5° e 6° ano),-1
Aluno-581,FASE 1,1H,Pública,Ametista,"7,7167","8,0","9,8","7,52","7,9","6,46",,"7,39",5,Fase 2 (5° e 6° ano),-1
Aluno-735,FASE 1,1J,Pública,Ametista,"7,184","0,0","9,0","7,52","8,1","8,33",,"8,39",5,Fase 2 (5° e 6° ano),-1
Aluno-710,FASE 1,1J,Pública,Ametista,"7,0582","9,5","9,0","3,77","6,5","7,08",,"7,11",5,Fase 2 (5° e 6° ano),-1
Aluno-712,FASE 1,1J,Pública,Agata,"6,331533333","9,5","5,6","3,14","6,7","7,50",,"6,84",5,Fase 3 (7° e 8° ano),-2
Aluno-549,FASE 1,1J,Pública,Ametista,"7,0297","9,5","8,1","5,02","6,4","6,88",,"7,50",5,Fase 2 (5° e 6° ano),-1
Aluno-679,FASE 1,1J,Pública,Agata,"6,138366667","7,5","7,5","5,02","3,6","6,88",,"7,39",5,Fase 2 (5° e 6° ano),-1
